id,internalId,related_id,slug,title,duration,viewedCount,presenterDisplayName
20811,470,8788,david_katz_the_surprising_solution_to_ocean_plastic,The surprising solution to ocean plastic,703,2209587,David Katz
20763,469,205,j_j_abrams_the_mystery_box,The mystery box,1068,4477966,J.J. Abrams
20763,469,785,james_cameron_before_avatar_a_curious_boy,Before Avatar ... a curious boy,1011,2424354,James Cameron
20763,469,55,jehane_noujaim_my_wish_a_global_day_of_film,My wish: A global day of film,1524,506170,Jehane Noujaim
20763,469,662,paul_debevec_animating_a_photo_real_digital_face,Animating a photo-real digital face,349,919607,Paul Debevec
20763,469,1760,martin_villeneuve_how_i_made_an_impossible_film,How I made an impossible film,641,1021431,Martin Villeneuve
20763,469,606,golan_levin_art_that_looks_back_at_you,Art that looks back at you,919,853799,Golan Levin
20711,468,306,freeman_dyson_let_s_look_for_life_in_the_outer_solar_system,Let's look for life in the outer solar system,1131,1190107,Freeman Dyson
20711,468,467,sylvia_earle_my_wish_protect_our_oceans,My wish: Protect our oceans,1074,3486931,Sylvia Earle
20711,468,440,peter_ward_a_theory_of_earth_s_mass_extinctions,A theory of Earth's mass extinctions,1162,1193453,Peter Ward
20711,468,42,martin_rees_is_this_our_final_century,Is this our final century?,1032,3106277,Martin Rees
20711,468,2069,andrew_connolly_what_s_the_next_window_into_our_universe,What's the next window into our universe?,1050,1287926,Andrew Connolly
20711,468,23913,marjee_chmiel_and_trevor_owens_is_there_a_center_of_the_universe,Is there a center of the universe?,238,662855,Marjee Chmiel and Trevor Owens
20649,467,206,david_gallo_underwater_astonishments,Underwater astonishments,308,16665880,David Gallo
20649,467,264,robert_ballard_the_astonishing_hidden_world_of_the_deep_ocean,The astonishing hidden world of the deep ocean,1079,1803951,Robert Ballard
20649,467,6,craig_venter_sampling_the_ocean_s_dna,Sampling the ocean's DNA,992,672262,Craig Venter
20649,467,1372,paul_snelgrove_a_census_of_the_ocean,A census of the ocean,990,382830,Paul Snelgrove
20649,467,1011,kristina_gjerde_making_law_on_the_high_seas,Making law on the high seas,929,432795,Kristina Gjerde
20649,467,23912,scott_gass_how_big_is_the_ocean,How big is the ocean?,310,2963422,Scott Gass
20591,466,464,jose_antonio_abreu_the_el_sistema_music_revolution,The El Sistema music revolution,996,1197930,José Antonio Abreu
20591,466,46,jennifer_lin_improvising_on_piano_aged_14,"Improvising on piano, aged 14",1431,1889626,Jennifer Lin
